izvjestaj_id,zupanija_id,broj_ukupno_zarazenih,broj_ukupno_umrlih,broj_novozarazenih,broj_aktivnih
1796,1,17856,339,164,930
1796,2,26395,354,266,1370
1796,3,29276,255,330,2220
1796,4,201546,4232,2197,16054
1796,5,23345,344,283,2087
1796,6,23261,655,187,761
1796,7,20725,428,256,1239
1796,8,25559,524,209,1963
1796,9,8811,201,89,444
1796,10,29613,291,547,2867
1796,11,48655,1422,497,2906
1796,12,10332,190,134,758
1796,13,78062,858,1060,7603
1796,14,26129,282,269,1778
1796,15,27330,284,346,2376
1796,16,121333,1091,1577,10805
1796,17,43264,866,581,2611
1796,18,12030,229,109,585
1796,19,24574,374,242,1263
1796,20,37519,396,444,1975
1796,21,74059,10,713,4781
1795,1,17692,335,51,879
1795,2,26129,352,306,1306
1795,3,28946,254,449,2315
1795,4,199349,4214,2331,15955
1795,5,23062,343,319,2059
1795,6,23074,653,183,706
1795,7,20469,428,205,1099
1795,8,25350,522,351,1975
1795,9,8722,199,77,402
1795,10,29066,290,560,2593
1795,11,48158,1421,421,2901
1795,12,10198,190,161,740
1795,13,77002,854,1756,7487
1795,14,25860,277,277,1773
1795,15,26984,280,452,2349
1795,16,119756,1087,1644,10495
1795,17,42683,866,539,2511
1795,18,11921,229,145,537
1795,19,24332,372,199,1236
1795,20,37075,390,474,1958
1795,21,73346,10,732,4751
1794,1,17641,335,289,763
1794,2,25823,350,147,1176
1794,3,28497,251,396,2223
1794,4,197018,4199,2009,14729
1794,5,22743,340,314,1866
1794,6,22891,651,129,686
1794,7,20264,425,122,946
1794,8,24999,519,161,1719
1794,9,8645,198,77,378
1794,10,28506,289,314,2247
1794,11,47737,1419,390,2709
1794,12,10037,189,67,670
1794,13,75246,853,778,5971
1794,14,25583,271,222,1599
1794,15,26532,277,337,2012
1794,16,118112,1076,1332,9100
1794,17,42144,862,369,2315
1794,18,11776,228,45,486
1794,19,24133,371,214,1143
1794,20,36601,389,359,1783
1794,21,72614,10,580,4345
1793,1,17352,335,3,773
1793,2,25676,348,152,1290
1793,3,28101,248,14,2190
1793,4,195009,4180,888,14200
1793,5,22429,338,97,1653
1793,6,22762,650,6,666
1793,7,20142,425,2,938
1793,8,24838,516,16,1771
1793,9,8568,195,0,333
1793,10,28192,287,5,2132
1793,11,47347,1419,121,2692
1793,12,9970,189,35,720
1793,13,74468,850,37,5658
1793,14,25361,270,8,1453
1793,15,26195,276,25,1799
1793,16,116780,1068,60,8798
1793,17,41775,861,138,2284
1793,18,11731,227,66,502
1793,19,23919,370,6,1138
1793,20,36242,389,11,1816
1793,21,72034,10,141,4267
1792,1,17349,335,117,893
1792,2,25524,343,148,1287
1792,3,28087,248,229,2473
1792,4,194121,4164,1685,15503
1792,5,22332,337,199,1749
1792,6,22756,650,67,755
1792,7,20140,425,60,1079
1792,8,24822,513,180,1953
1792,9,8568,195,55,381
1792,10,28187,287,388,2296
1792,11,47226,1414,317,3052
1792,12,9935,189,133,742
1792,13,74431,847,608,6380
1792,14,25353,268,52,1667
1792,15,26170,276,167,2042
1792,16,116720,1065,1135,10191
1792,17,41637,859,450,2403
1792,18,11665,226,63,505
1792,19,23913,368,197,1376
1792,20,36231,388,227,2149
1792,21,71893,10,618,4711
1791,1,17232,334,142,889
1791,2,25376,343,272,1317
