zupanija_id,naziv_zupanije,broj_stanovnika,mjesto_gid
1,Bjelovarsko-bilogorska,102295,1402
2,Brodsko-posavska,130782,4954
3,Dubrovaèko-neretvanska,115862,1413
4,Grad Zagreb,769944,3531
5,Istarska,195794,1407
6,Karlovaèka,112596,1404
7,Koprivnièko-križevaèka,101661,764
8,Krapinsko-zagorska,120942,1405
9,Lièko-senjska,42893,1409
10,Meðimurska,105863,1401
11,Osjeèko-baranjska,259481,1400
12,Požeško-slavonska,64420,1103
13,Primorsko-goranska,266503,1408
14,Šibensko-kninska,96624,1412
15,Sisaèko-moslavaèka,140549,751
16,Splitsko-dalmatinska,425412,3274
17,Varaždinska,160264,1403
18,Virovitièko-podravska,70660,1102
19,Vukovarsko-srijemska,144438,1101
20,Zadarska,160340,1411
21,Zagrebaèka,301206,1406
