"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,58,"HRV","Croatia",1,"Šibensko-Kninska","Županija","County",NA,"Šibenik"
2,58,"HRV","Croatia",2,"Bjelovarska-Bilogorska","Županija","County",NA,"Bjelovar-Bilagora"
3,58,"HRV","Croatia",3,"Brodsko-Posavska","Županija","County",NA,"Slavonski Brod-Posavina"
4,58,"HRV","Croatia",4,"Dubrovacko-Neretvanska","Županija","County",NA,"Dubrovnik-Neretva"
5,58,"HRV","Croatia",5,"Grad Zagreb","Grad","City",NA,NA
6,58,"HRV","Croatia",6,"Istarska","Županija","County",NA,"Istra"
7,58,"HRV","Croatia",7,"Karlovacka","Županija","County",NA,"Karlovac"
8,58,"HRV","Croatia",8,"Koprivnicko-Križevacka","Županija","County",NA,"Koprivnica-Križevci"
9,58,"HRV","Croatia",9,"Krapinsko-Zagorska","Županija","County",NA,"Krapina-Zagorje"
10,58,"HRV","Croatia",10,"Licko-Senjska","Županija","County",NA,"Lika-Senj"
11,58,"HRV","Croatia",11,"Medimurska","Županija","County",NA,"Medimurje"
12,58,"HRV","Croatia",12,"Osjecko-Baranjska","Županija","County",NA,"Osijek-Baranja"
13,58,"HRV","Croatia",13,"Požeško-Slavonska","Županija","County",NA,"Požega-Slavonija"
14,58,"HRV","Croatia",14,"Primorsko-Goranska","Županija","County",NA,"Primorje-Gorski Kotar"
15,58,"HRV","Croatia",15,"Sisacko-Moslavacka","Županija","County",NA,"Sisak-Moslavina"
16,58,"HRV","Croatia",16,"Splitsko-Dalmatinska","Županija","County",NA,"Split-Dalmacia"
17,58,"HRV","Croatia",17,"Varaždinska","Županija","County",NA,"Varaždin|Varasd"
18,58,"HRV","Croatia",18,"Viroviticko-Podravska","Županija","County",NA,"Virovitica-Podravina"
19,58,"HRV","Croatia",19,"Vukovarsko-Srijemska","Županija","County",NA,"Vukovar-Srijem"
20,58,"HRV","Croatia",20,"Zadarska","Županija","County",NA,"Zadar-Knin"
21,58,"HRV","Croatia",21,"Zagrebacka","Županija","County",NA,"Zagreb"
